"materia_id","materia_nome","sigla","assunto_id","hierarquia","nivel","nome"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11940","08.37.01","3","Do Imposto (arts. 1º a 320-U do RICMS-DF)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12026","15.42.01","3","Do Imposto (arts. 1º a 3º do RIPVA-PA)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14152","14.06.01","3","Do Imposto (arts. 1º a 61 do RICMS-MG)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17666","25.12.01","3","Do Imposto (arts. 1º a 6º da Lei Estadual nº 6.374/1989)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11950","09.03.01","3","Do Imposto (arts. 1º a 81 da Lei Estadual nº 7.000/2001)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12156","25.30.01.01","4","Do Imposto (arts. 1º a 8º do RICMS-SP)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11956","09.02.01","3","Do Imposto (arts. 2º a 20 da Lei Estadual nº 6.999/2001)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14745","12.53.01","3","Do Imposto (arts. 2º a 21 do RICMS-MT)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17154","19.05.01","3","Do Imposto e da Incidência (arts. 1º a 3º da Lei Estadual nº 4.548/1992)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14352","17.03.02","3","Do Imposto sobre a Transmissão Causa Mortis e Doações, de Quaisquer Bens ou Direitos - ITCMD (arts. 7º a 49 da Lei Estadual nº 18.573/2015)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17255","10.12.01.04","4","Do IPVA (arts. 90 a 111 da Lei Estadual nº 11.651/1991)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12320","04.01.02.03","4","Do IPVA (arts. 96 a 110 da Lei Estadual nº 400/1997)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12121","24.02.04","3","Do IPVA (arts. 96 a 110 da Lei Estadual nº 59/1993)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17254","10.12.01.03","4","Do ITCD (arts. 72 a 89 da Lei Estadual nº 11.651/1991)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12319","04.01.02.02","4","Do ITCD (arts. 72 a 95 da Lei Estadual nº 400/1997)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12122","24.02.05","3","Do ITCD (arts. 73 a 95 da Lei Estadual nº 59/1993)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11836","05.01.01","3","Do ITCMD (arts. 113 a 147 da Lei Complementar Estadual nº 19/1997)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12031","15.42.06","3","Do Lançamento (art. 25 do RIPVA-PA)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17158","19.05.05","3","Do Lançamento (arts. 10 e 10-A da Lei Estadual nº 4.548/1992)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12016","15.45.01.09","4","Do Lançamento (arts. 48 a 49 do RICMS-PA)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14703","17.01.16","3","Do Lançamento (arts. 56 e 57 da Lei Estadual nº 11.580/1996)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12181","26.11.06","3","Do Lançamento (arts. 9º-A e 9º-B do RIPVA-SC)"
